uid	sid
0	20
0	21
0	63
0	46
0	13
0	69
0	57
1	83
1	77
1	101
2	110
2	130
3	150
3	158
3	156
4	163
4	166
4	177
5	211
5	222
6	230
6	249
6	237
7	298
7	304
7	273
7	274
7	312
7	264
8	377
8	344
8	359
8	342
8	334
8	386
8	357
8	374
9	405
9	248
10	429
10	424
11	443
11	450
12	518
12	485
12	563
12	460
12	532
12	566
12	552
12	544
12	522
12	508
12	484
13	473
13	533
13	483
13	551
13	484
13	546
13	499
14	632
14	607
14	589
14	600
14	621
14	577
14	604
15	683
15	658
15	721
15	779
15	815
15	818
15	695
15	641
15	754
15	799
15	739
15	650
15	761
15	770
15	793
15	742
15	804
15	656
16	833
16	837
16	849
17	859
17	871
18	879
18	874
18	872
19	917
19	916
19	933
20	959
20	949
21	986
21	988
21	1002
21	991
21	1016
21	969
22	1053
22	1033
22	1032
23	164
23	1067
23	1056
24	518
24	520
25	1086
25	1088
25	1114
26	1128
26	1129
26	1139
26	1125
27	1163
27	1185
27	1197
27	1176
27	1217
27	1161
27	1227
27	1198
28	1245
28	163
28	1263
29	1285
29	1277
30	1358
30	1323
30	1345
30	1361
30	1289
30	1347
30	786
30	1367
30	1365
30	1371
30	763
31	1387
31	198
32	1246
32	708
32	1421
33	1581
33	1639
33	1533
33	1680
33	1744
33	500
33	1580
33	1677
33	1712
33	1438
33	1453
33	1468
33	1747
33	1509
33	1426
33	1497
33	1574
33	1647
33	1569
33	1615
33	1684
33	1689
33	1585
33	1682
33	1502
33	1507
33	1654
33	1683
33	1532
33	1523
33	1561
33	1731
33	1604
33	1672
33	1690
34	460
34	180
35	1854
35	1922
35	1255
35	1793
35	1821
35	1917
35	1264
35	1833
35	1871
35	1910
35	1931
35	1795
35	1869
35	1878
35	1916
35	1896
35	1856
35	1880
36	1939
36	1941
36	1945
37	1988
37	1985
37	1558
38	2022
38	1995
38	2016
39	2063
39	2069
39	2044
39	2075
39	2064
39	2052
39	2043
39	2086
40	2127
40	2107
40	2147
40	2121
40	2145
40	2143
41	2183
41	2168
41	2167
42	2185
42	2193
43	2237
43	2235
43	2213
44	2294
44	2269
44	2295
44	671
44	2288
44	967
44	2272
45	2315
45	2319
45	2331
45	2297
46	2502
46	2407
46	2371
46	2443
46	2336
46	2466
46	2373
46	2422
46	2393
46	2431
46	2486
46	2351
46	2401
46	2409
46	2429
46	2396
46	2381
47	2526
47	2529
48	1176
48	2530
49	327
49	2583
49	2559
49	2578
49	2564
50	2628
50	913
50	2601
50	928
50	1400
50	2617
50	2614
51	2705
51	2727
51	2746
51	2734
51	2766
51	2671
51	2752
51	2685
51	2751
51	2662
51	2716
51	2701
51	2695
52	2901
52	2870
52	2786
52	2878
52	2893
52	2877
52	2828
52	324
52	2885
52	2863
52	2837
52	2981
52	2904
52	2965
52	2825
52	2820
52	2272
52	2894
52	2985
52	2957
52	2843
52	2968
53	3008
53	3016
53	3012
53	2994
54	3059
54	3052
54	3068
54	1057
54	3061
55	3086
55	3079
55	3101
56	3107
56	3105
57	3180
